top - 21:48:07 up 12:58,  1 user,  load average: 0.01, 0.02, 0.15
Tasks: 225 total,   1 running, 224 sleeping,   0 stopped,   0 zombie
%Cpu(s): 37.0 us,  5.6 sy,  0.0 ni, 57.1 id,  0.3 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem :  3746488 total,  1450996 free,   870204 used,  1425288 buff/cache
 1397 arpher    20   0  677976  15212  11276 S   0.0  0.4   0:00.08 indicator-+
 1398 arpher    20   0  544284  23696  19784 S   0.0  0.6   0:00.07 indicator-+
 1399 arpher    20   0  638072   8640   7516 S   0.0  0.2   0:00.07 indicator-+
 1408 arpher    20   0  395940  12444  11004 S   0.0  0.3   0:00.56 indicator-+
 1449 arpher    20   0 1174124  23436  19520 S   0.0  0.6   0:00.06 evolution-+
 1461 arpher    20   0   22372   1252   1088 S   0.0  0.0   0:00.04 syndaemon
 1468 arpher    20   0  807904  35136  28968 S   0.0  0.9   0:07.49 nm-applet
 1470 arpher    20   0  571312  19976  16728 S   0.0  0.5   0:00.10 unity-fall+
 1472 arpher    20   0  804772  51300  40944 S   0.0  1.4   0:00.98 nautilus
 1488 arpher    20   0 1308208  91020  26724 S   0.0  2.4   0:02.93 gnome-soft+
 1491 arpher    20   0  425972  20124  16888 S   0.0  0.5   0:00.09 polkit-gno+
 1494 arpher    20   0  298116   9928   8544 S   0.0  0.3   0:00.14 gvfs-udisk+
 1499 root      20   0  382672  10264   7896 S   0.0  0.3   0:05.72 udisksd
 1510 arpher    20   0  405348   9116   8092 S   0.0  0.2   0:00.00 gvfs-afc-v+
 1513 arpher    20   0  864408  60392  22312 S   0.0  1.6   0:00.17 evolution-+
 1519 arpher    20   0  259280   4356   4048 S   0.0  0.1   0:00.00 gvfs-goa-v+
 1524 arpher    20   0  273596   6316   5548 S   0.0  0.2   0:00.00 gvfs-gphot+
 1532 arpher    20   0  261268   4608   4212 S   0.0  0.1   0:00.00 gvfs-mtp-v+
 1539 root      20   0  635260  35448   9888 S   0.0  0.9   0:00.80 fwupd
 1555 arpher    20   0  890096  51688  15052 S   0.0  1.4   0:00.12 evolution-+
 1567 arpher    20   0  699044  21696  16884 S   0.0  0.6   0:00.03 evolution-+
